source_file,source_family,quarantine_exact_rows,exact_share_pct
metadata/context_buckets/glm47-le-131072.parquet,metadata/context_buckets,51389,3.687225
metadata/context_buckets/glm47-le-16384.parquet,metadata/context_buckets,51389,3.687225
metadata/context_buckets/glm47-le-32768.parquet,metadata/context_buckets,51389,3.687225
metadata/context_buckets/glm47-le-65536.parquet,metadata/context_buckets,51389,3.687225
metadata/context_buckets/llama31_final-le-131072.parquet,metadata/context_buckets,51389,3.687225
metadata/context_buckets/llama31_final-le-16384.parquet,metadata/context_buckets,51389,3.687225
metadata/context_buckets/llama31_final-le-32768.parquet,metadata/context_buckets,51389,3.687225
metadata/context_buckets/llama31_final-le-65536.parquet,metadata/context_buckets,51389,3.687225
metadata/context_buckets/qwen3-le-131072.parquet,metadata/context_buckets,51389,3.687225
metadata/context_buckets/qwen3-le-16384.parquet,metadata/context_buckets,51389,3.687225
metadata/context_buckets/qwen3-le-32768.parquet,metadata/context_buckets,51389,3.687225
metadata/context_buckets/qwen3-le-65536.parquet,metadata/context_buckets,51389,3.687225
metadata/context_buckets/llama31_final-le-8192.parquet,metadata/context_buckets,51388,3.687153
metadata/context_buckets/glm47-le-8192.parquet,metadata/context_buckets,51386,3.68701
metadata/context_buckets/qwen3-le-8192.parquet,metadata/context_buckets,51381,3.686651
metadata/context_buckets/llama31_final-le-4096.parquet,metadata/context_buckets,50882,3.650847
metadata/context_buckets/glm47-le-4096.parquet,metadata/context_buckets,50632,3.632909
metadata/context_buckets/qwen3-le-4096.parquet,metadata/context_buckets,50529,3.625519
metadata/parent_ids/prompt_completion_text.parquet,metadata/parent_ids,46082,3.306441
metadata/parent_ids/sft_reasoning.parquet,metadata/parent_ids,43132,3.094775
data/canonical/train-00000-of-00005.parquet,data/canonical,10000,0.717512
data/canonical/train-00000-of-00006.parquet,data/canonical,10000,0.717512
data/canonical/train-00001-of-00005.parquet,data/canonical,10000,0.717512
data/canonical/train-00001-of-00006.parquet,data/canonical,10000,0.717512
