old_status,new_status,count
not_checked_missing_eval_source,not_checked_missing_eval_source,2479865
quarantine_exact,excluded_metadata,1022950
not_checked_missing_eval_source,excluded_derivative,545919
quarantine_exact,excluded_derivative,312817
requires_manual_review,not_checked_missing_eval_source,187301
quarantine_exact,not_checked_missing_eval_source,57880
requires_manual_review,excluded_derivative,37035
quarantine_exact,quarantine_exact,57
not_checked_missing_eval_source,quarantine_exact,44
requires_manual_review,requires_manual_review,5
requires_manual_review,quarantine_exact,2
